STATE,LAST NAME INITIAL LETTER,COUNT,VALID
QC,ALL,0,TRUE
RI,ALL,0,TRUE
SK,ALL,0,TRUE
SC,a,36,TRUE
SC,b,0,TRUE
SC,c,0,TRUE
SC,d,53,TRUE
SC,e,29,TRUE
SC,f,44,TRUE
SC,g,49,TRUE
SC,h,87,TRUE
SC,i,2,TRUE
SC,j,0,TRUE
SC,k,49,TRUE
SC,l,0,TRUE
SC,m,140,TRUE
SC,n,21,TRUE
SC,o,20,TRUE
SC,p,0,TRUE
SC,q,4,TRUE
SC,r,54,TRUE
SC,s,125,TRUE
SC,t,30,TRUE
SC,u,3,TRUE
SC,v,13,TRUE
SC,w,60,TRUE
SC,x,0,TRUE
SC,y,7,TRUE
SC,z,0,TRUE
SD,ALL,88,TRUE
TN,ALL,987,TRUE
TX,a,178,TRUE
TX,b,434,TRUE
TX,c,0,TRUE
TX,d,0,TRUE
TX,e,91,TRUE
TX,f,196,TRUE
TX,g,265,TRUE
TX,h,322,TRUE
TX,i,25,TRUE
TX,j,116,TRUE
TX,k,0,TRUE
TX,l,265,TRUE
TX,m,502,TRUE
TX,n,93,TRUE
TX,o,0,TRUE
TX,p,246,TRUE
TX,q,0,TRUE
TX,r,276,TRUE
TX,s,0,TRUE
TX,t,199,TRUE
TX,u,14,TRUE
TX,v,0,TRUE
TX,w,204,TRUE
TX,x,0,TRUE
TX,y,0,TRUE
TX,z,0,TRUE
VI,ALL,52,TRUE
UT,ALL,0,TRUE
VT,ALL,503,TRUE
VA,ALL,0,TRUE
WV,ALL,0,TRUE
WI,ALL,907,TRUE
WY,ALL,104,TRUE
YT,ALL,0,TRUE
