LOG TYPE,MESSAGE,LOG
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=157716,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=311337,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=167891,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=192370,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=1225,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=198013,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=51709,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=192912,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=208894,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=50063,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=126965,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=51562,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
